=== 종목 배치 적재 (GICS 계층화) ===

모드: cron (sector_id 재시도)

  섹터 매핑 테이블 로드 중...
  gics_yfinance_map: 176건, sectors L1: 12건, sectors 전체: 220건

[cron] sector_id 미설정 종목 조회 중...
  대상: 10798개

  [331/10798] 580087 (KR): null (매핑 실패)
  [332/10798] 499150 (KR): null (매핑 실패)
  [333/10798] 570109 (KR): null (매핑 실패)
  [334/10798] 610091 (KR): null (매핑 실패)
  [335/10798] 0166T0 (KR): null (매핑 실패)
  [336/10798] 610057 (KR): null (매핑 실패)
  [337/10798] 610097 (KR): null (매핑 실패)
  [338/10798] 760006 (KR): null (매핑 실패)
  [339/10798] 290080 (KR): null (매핑 실패)
  [340/10798] 0036Z0 (KR): null (매핑 실패)
  [341/10798] 760010 (KR): null (매핑 실패)
  [342/10798] 219900 (KR): null (매핑 실패)
  [343/10798] 310080 (KR): null (매핑 실패)
  [344/10798] 237440 (KR): null (매핑 실패)
  [345/10798] 285690 (KR): null (매핑 실패)
  [346/10798] 570101 (KR): null (매핑 실패)
  [347/10798] 610055 (KR): null (매핑 실패)
  [348/10798] 610034 (KR): null (매핑 실패)
  [349/10798] 182490 (KR): null (매핑 실패)
  [350/10798] 139240 (KR): null (매핑 실패)
  [351/10798] 500101 (KR): null (매핑 실패)
  [352/10798] 530135 (KR): null (매핑 실패)
  [353/10798] 610090 (KR): null (매핑 실패)
  [354/10798] 174350 (KR): null (매핑 실패)
  [355/10798] 230480 (KR): null (매핑 실패)
  [356/10798] 500098 (KR): null (매핑 실패)
  [357/10798] 243890 (KR): null (매핑 실패)
  [358/10798] 570097 (KR): null (매핑 실패)
  [359/10798] 0102X0 (KR): null (매핑 실패)
  [360/10798] 580035 (KR): null (매핑 실패)
  [361/10798] 004985 (KR): sector_id=235
  [362/10798] 610084 (KR): null (매핑 실패)
  [363/10798] 453010 (KR): null (매핑 실패)
  [364/10798] 0120X0 (KR): null (매핑 실패)
  [365/10798] 610058 (KR): null (매핑 실패)
  [366/10798] 530141 (KR): null (매핑 실패)
  [367/10798] 610094 (KR): null (매핑 실패)
  [368/10798] 530142 (KR): null (매핑 실패)
  [369/10798] 395150 (KR): null (매핑 실패)
  [370/10798] 457930 (KR): null (매핑 실패)
  [371/10798] 500063 (KR): null (매핑 실패)
  [372/10798] 760020 (KR): null (매핑 실패)
  [373/10798] 570085 (KR): null (매핑 실패)
  [374/10798] 760025 (KR): null (매핑 실패)
  [375/10798] 227570 (KR): null (매핑 실패)
  [376/10798] 456250 (KR): null (매핑 실패)
  [377/10798] 610056 (KR): null (매핑 실패)
  [378/10798] 760019 (KR): null (매핑 실패)
  [379/10798] 466810 (KR): null (매핑 실패)
  [380/10798] 0120J0 (KR): null (매핑 실패)
  [381/10798] 395750 (KR): null (매핑 실패)
  [382/10798] 280320 (KR): null (매핑 실패)
  [383/10798] 610059 (KR): null (매핑 실패)
  [384/10798] 138920 (KR): null (매핑 실패)
  [385/10798] 139660 (KR): null (매핑 실패)
  [386/10798] 500051 (KR): null (매핑 실패)
  [387/10798] 0005C0 (KR): null (매핑 실패)
  [388/10798] 610051 (KR): null (매핑 실패)
  [389/10798] 0002C0 (KR): null (매핑 실패)
  [390/10798] 520046 (KR): null (매핑 실패)
  [391/10798] 291630 (KR): null (매핑 실패)
  [392/10798] 610068 (KR): null (매핑 실패)
  [393/10798] 610086 (KR): null (매핑 실패)
  [394/10798] 610096 (KR): null (매핑 실패)
  [395/10798] 610070 (KR): null (매핑 실패)
  [396/10798] 429010 (KR): null (매핑 실패)
  [397/10798] 700032 (KR): null (매핑 실패)
  [398/10798] 580064 (KR): null (매핑 실패)
  [399/10798] 295000 (KR): null (매핑 실패)
  [400/10798] 289670 (KR): null (매핑 실패)
  [401/10798] 570074 (KR): null (매핑 실패)
  [402/10798] 460270 (KR): null (매핑 실패)
  [403/10798] 520085 (KR): null (매핑 실패)
  [404/10798] 610020 (KR): null (매핑 실패)
  [405/10798] 451150 (KR): null (매핑 실패)
  [406/10798] 105010 (KR): null (매핑 실패)
  [407/10798] 530122 (KR): null (매핑 실패)
  [408/10798] 610092 (KR): null (매핑 실패)
  [409/10798] 453060 (KR): null (매핑 실패)
  [410/10798] 195920 (KR): null (매핑 실패)
  [411/10798] 0184N0 (KR): null (매핑 실패)
  [412/10798] 433250 (KR): null (매핑 실패)
  [413/10798] 610074 (KR): null (매핑 실패)
  [414/10798] 140570 (KR): null (매핑 실패)
  [415/10798] 491630 (KR): null (매핑 실패)
  [416/10798] 550063 (KR): null (매핑 실패)
  [417/10798] 0133E0 (KR): null (매핑 실패)
  [418/10798] 610077 (KR): null (매핑 실패)
  [419/10798] 570073 (KR): null (매핑 실패)
  [420/10798] 281990 (KR): null (매핑 실패)
  [421/10798] 375270 (KR): null (매핑 실패)
  [422/10798] 332610 (KR): null (매핑 실패)
  [423/10798] 225030 (KR): null (매핑 실패)
  [424/10798] 580079 (KR): null (매핑 실패)
  [425/10798] 117690 (KR): null (매핑 실패)
  [426/10798] 429980 (KR): null (매핑 실패)
  [427/10798] 463690 (KR): null (매핑 실패)
  [428/10798] 301400 (KR): null (매핑 실패)
  [429/10798] 0073X0 (KR): null (매핑 실패)
  [430/10798] 266390 (KR): null (매핑 실패)
  [431/10798] 226380 (KR): null (매핑 실패)
  [432/10798] 266410 (KR): null (매핑 실패)
  [433/10798] 0000H0 (KR): null (매핑 실패)
  [434/10798] 0203R0 (KR): null (매핑 실패)
  [435/10798] 0079X0 (KR): null (매핑 실패)
  [436/10798] 610095 (KR): null (매핑 실패)
  [437/10798] 0013P0 (KR): null (매핑 실패)
  [438/10798] 0084E0 (KR): null (매핑 실패)
  [439/10798] 244660 (KR): null (매핑 실패)
  [440/10798] 0176P0 (KR): null (매핑 실패)
  [441/10798] 530121 (KR): null (매핑 실패)
  [442/10798] 530137 (KR): null (매핑 실패)
  [443/10798] 371150 (KR): null (매핑 실패)
  [444/10798] 610024 (KR): null (매핑 실패)
  [445/10798] 488290 (KR): null (매핑 실패)
  [446/10798] 700031 (KR): null (매핑 실패)
  [447/10798] 214450 (KR): sector_id=129
  [448/10798] 530139 (KR): null (매핑 실패)
  [449/10798] 0094L0 (KR): null (매핑 실패)
  [450/10798] 449170 (KR): null (매핑 실패)
  [451/10798] 009970 (KR): sector_id=167
  [452/10798] 323410 (KR): sector_id=139
  [453/10798] 000240 (KR): sector_id=157
  [454/10798] 294400 (KR): null (매핑 실패)
  [455/10798] 122630 (KR): null (매핑 실패)
  [456/10798] 105560 (KR): sector_id=139
  [457/10798] 004990 (KR): sector_id=188
  [458/10798] 0183J0 (KR): null (매핑 실패)
  [459/10798] 016360 (KR): sector_id=149
  [460/10798] 463250 (KR): null (매핑 실패)
  [461/10798] 483650 (KR): sector_id=194
  [462/10798] 520054 (KR): null (매핑 실패)
  [463/10798] 383220 (KR): sector_id=167
  [464/10798] 0025N0 (KR): null (매핑 실패)
  [465/10798] 007810 (KR): sector_id=124
  [466/10798] 005940 (KR): sector_id=149
  [467/10798] 285130 (KR): sector_id=234
  [468/10798] 139480 (KR): sector_id=193
  [469/10798] 005090 (KR): sector_id=208
  [470/10798] 100840 (KR): sector_id=213
  [471/10798] 064400 (KR): sector_id=116
  [472/10798] 251600 (KR): null (매핑 실패)
  [473/10798] 005880 (KR): sector_id=225
  [474/10798] 457190 (KR): null (매핑 실패)
  [475/10798] 079160 (KR): sector_id=203
  [476/10798] 001680 (KR): sector_id=188
  [477/10798] 000270 (KR): sector_id=159
  [478/10798] 028670 (KR): sector_id=225
  [479/10798] 0131V0 (KR): null (매핑 실패)
  [480/10798] 114090 (KR): sector_id=170
  [481/10798] 002020 (KR): sector_id=211
  [482/10798] 161510 (KR): null (매핑 실패)
  [483/10798] 259960 (KR): sector_id=204
  [484/10798] 005180 (KR): sector_id=188
  [485/10798] 455890 (KR): null (매핑 실패)
  [486/10798] 034020 (KR): sector_id=213
  [487/10798] 133690 (KR): null (매핑 실패)
  [488/10798] 580058 (KR): null (매핑 실패)
  [489/10798] 456600 (KR): null (매핑 실패)
  [490/10798] 000370 (KR): sector_id=155
  [491/10798] 315960 (KR): null (매핑 실패)
  [492/10798] 000155 (KR): sector_id=211
  [493/10798] 317450 (KR): sector_id=130
  [494/10798] 009240 (KR): sector_id=162
  [495/10798] 496080 (KR): null (매핑 실패)
  [496/10798] 207940 (KR): sector_id=129
  [497/10798] 462010 (KR): null (매핑 실패)
  [498/10798] 0163Y0 (KR): null (매핑 실패)
  [499/10798] 102110 (KR): null (매핑 실패)
  [500/10798] 482730 (KR): null (매핑 실패)
  [501/10798] 007700 (KR): sector_id=167
  [502/10798] 008060 (KR): sector_id=124
  [503/10798] 001570 (KR): sector_id=234
  [504/10798] 002960 (KR): sector_id=251
  [505/10798] 293940 (KR): sector_id=263
  [506/10798] 093050 (KR): sector_id=167
  [507/10798] 383800 (KR): sector_id=141
  [508/10798] 249420 (KR): sector_id=130
  [509/10798] 471230 (KR): null (매핑 실패)
  [510/10798] 001060 (KR): sector_id=130
  [511/10798] 0015B0 (KR): null (매핑 실패)
  [512/10798] 204320 (KR): sector_id=157
  [513/10798] 001740 (KR): sector_id=211
  [514/10798] 0127P0 (KR): null (매핑 실패)
  [515/10798] 292150 (KR): null (매핑 실패)
  [516/10798] 458760 (KR): null (매핑 실패)
  [517/10798] 003850 (KR): sector_id=130
  [518/10798] 375500 (KR): sector_id=208
  [519/10798] 0091P0 (KR): null (매핑 실패)
  [520/10798] 010950 (KR): sector_id=251
  [521/10798] 434060 (KR): null (매핑 실패)
  [522/10798] 0167Z0 (KR): null (매핑 실패)
  [523/10798] 069960 (KR): sector_id=177
  [524/10798] 494670 (KR): null (매핑 실패)
  [525/10798] 001510 (KR): sector_id=149
  [526/10798] 012750 (KR): sector_id=219
  [527/10798] 0177R0 (KR): null (매핑 실패)
  [528/10798] 047810 (KR): sector_id=206
  [529/10798] 444200 (KR): null (매핑 실패)
  [530/10798] 139260 (KR): null (매핑 실패)
  [531/10798] 0101N0 (KR): null (매핑 실패)
  [532/10798] 0167B0 (KR): null (매핑 실패)
  [533/10798] 329180 (KR): sector_id=206
